,호선,역명,고유역번호(외부역코드),06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후,총 이용인원
37,2호선,신림,230,407980.0,625861.0,1917345.0,2796628.0,1502768.0,616908.0,375339.0,356490.0,221578.0,73254.0,-135623.0,-278279.0,-646740.0,-1728655.0,-1776158.0,-945657.0,-923156.0,-887991.0,-630923.0,-192142.0,748827.0
133,5호선,까치산,2519,278170.0,412257.0,1366079.0,1616986.0,726537.0,345179.0,246201.0,214086.0,134513.0,12062.0,-143745.0,-251191.0,-458174.0,-1093367.0,-923746.0,-556451.0,-557279.0,-472235.0,-326208.0,-93514.0,476160.0
175,5호선,화곡,2518,255049.0,365399.0,1206811.0,1392124.0,574619.0,323833.0,250138.0,221724.0,148054.0,37542.0,-59446.0,-164006.0,-346623.0,-992020.0,-810150.0,-454142.0,-451265.0,-413312.0,-295013.0,-85744.0,703572.0
28,2호선,서울대입구(관악구청),228,349754.0,335240.0,1150189.0,1324635.0,671707.0,191280.0,160335.0,177800.0,162127.0,62483.0,4237.0,-54904.0,-271269.0,-988128.0,-1063650.0,-471709.0,-397229.0,-454401.0,-355297.0,-202460.0,330740.0
83,3호선,연신내,311,293996.0,470188.0,1240779.0,1314197.0,617139.0,289452.0,227520.0,248516.0,127100.0,55306.0,-48908.0,-84481.0,-378535.0,-1025482.0,-962809.0,-461718.0,-433613.0,-396096.0,-336680.0,-102736.0,653135.0
35,2호선,신대방,231,269594.0,305774.0,852870.0,1249717.0,731810.0,326204.0,211627.0,175265.0,116788.0,17525.0,-108329.0,-164343.0,-325400.0,-685558.0,-723648.0,-461120.0,-536185.0,-537901.0,-331477.0,-85363.0,297850.0
112,4호선,쌍문,413,269322.0,515904.0,1302999.0,1159427.0,655540.0,391931.0,288326.0,240094.0,150819.0,62289.0,-82039.0,-192609.0,-371861.0,-828620.0,-906938.0,-520696.0,-480236.0,-480702.0,-340299.0,-78065.0,754586.0
24,2호선,봉천,229,162973.0,249717.0,822498.0,1141957.0,626236.0,266383.0,146265.0,148980.0,111232.0,23446.0,-83118.0,-119274.0,-279780.0,-624814.0,-632887.0,-342081.0,-343079.0,-359648.0,-248435.0,-78875.0,587696.0
16,2호선,낙성대(강감찬),227,107251.0,192900.0,744225.0,1047595.0,579493.0,208159.0,164206.0,163625.0,135477.0,59791.0,-5783.0,-21400.0,-155174.0,-585249.0,-693352.0,-387975.0,-377540.0,-446077.0,-305953.0,-86322.0,337897.0
273,8호선,암사,2811,164193.0,280390.0,855554.0,1025821.0,451618.0,205363.0,131109.0,109377.0,70553.0,8188.0,-73981.0,-128411.0,-252050.0,-562538.0,-539967.0,-272307.0,-230710.0,-283184.0,-169217.0,-49779.0,740022.0
157,5호선,여의도,2527,-16250.0,-264226.0,-1538393.0,-2479580.0,-861849.0,-258213.0,-176610.0,-148799.0,-117707.0,24547.0,149180.0,308927.0,1291320.0,1589074.0,592579.0,588243.0,500544.0,281393.0,74427.0,-10320.0,-471713.0
31,2호선,성수,211,16696.0,-246591.0,-620961.0,-2784076.0,-1518967.0,-520955.0,-332639.0,-301748.0,-280428.0,-163191.0,-34568.0,143944.0,754027.0,2006954.0,820340.0,649512.0,646011.0,443295.0,104038.0,-37991.0,-1257298.0
10,2호선,강남,222,-10013.0,-388045.0,-1290858.0,-2819909.0,-3061662.0,-1162059.0,-459608.0,-221057.0,-217009.0,81430.0,439628.0,630926.0,1233424.0,1548920.0,1106265.0,1217129.0,1641757.0,1606365.0,685235.0,83620.0,644479.0
6,1호선,종각,152,-9755.0,-237100.0,-1118207.0,-2842146.0,-1545143.0,-526515.0,-380326.0,-221994.0,-100893.0,106111.0,330270.0,428459.0,1096179.0,1879905.0,764063.0,790757.0,921089.0,710558.0,303614.0,4738.0,353664.0
128,5호선,광화문(세종문화회관),2534,4256.0,-286580.0,-797208.0,-2912089.0,-1281483.0,-481680.0,-370818.0,-238879.0,-172716.0,28608.0,258017.0,447876.0,880371.0,1934561.0,641374.0,605462.0,679797.0,461569.0,142342.0,15693.0,-441527.0
30,2호선,선릉,220,-14802.0,-356301.0,-1089202.0,-2972679.0,-2289829.0,-830490.0,-211090.0,-35528.0,-21503.0,228344.0,541568.0,851748.0,1621250.0,2780139.0,1282925.0,831545.0,838157.0,695197.0,202484.0,-467.0,2051466.0
50,2호선,을지로입구,202,-3133.0,-265969.0,-1317922.0,-3632664.0,-1581159.0,-520279.0,-335168.0,-179806.0,-48457.0,106139.0,277731.0,402862.0,1126313.0,2532580.0,960146.0,970458.0,648443.0,453124.0,132140.0,-16374.0,-290995.0
26,2호선,삼성(무역센터),219,-3529.0,-402397.0,-1423929.0,-3755681.0,-2614287.0,-1052914.0,-571702.0,-370714.0,-270571.0,48402.0,422125.0,785779.0,1818123.0,2878102.0,1438908.0,1170608.0,1032534.0,647906.0,140280.0,-29295.0,-112252.0
43,2호선,역삼,221,-39367.0,-352249.0,-1524209.0,-3954982.0,-3373007.0,-1252600.0,-424269.0,-215026.0,-178359.0,81010.0,364515.0,643451.0,1869226.0,2623918.0,1368632.0,797353.0,786016.0,523689.0,153949.0,7167.0,-2095142.0
215,7호선,가산디지털단지,2748,17396.0,-224347.0,-1184887.0,-4162646.0,-2277554.0,-485247.0,-148937.0,-50712.0,-9455.0,99450.0,257372.0,554017.0,1999483.0,3172636.0,1149631.0,628835.0,500136.0,223678.0,48725.0,-14398.0,93176.0
